Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Input_15,Input_16,Input_17,Input_18,Input_19,Input_20,Input_21,Input_22,Input_23,Input_24,Output
497.7534,677.8288,757.2689,672.6376,489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196
677.8288,757.2689,672.6376,489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380
757.2689,672.6376,489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550
672.6376,489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433
489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499
390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332
438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481
550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475
712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809
793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183
669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213
434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259
316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898
323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920
511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054
608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720
605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990
471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986
281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521
212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939
241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535
400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471
593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324
647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278
620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547
456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306
354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309
443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041
588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976
735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647
825.4481,694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011
694.1475,479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540
479.0809,371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144
371.9183,376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442
376.1213,498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331
498.2259,674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706
674.8898,707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581
707.2920,508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349
508.8054,353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829
353.7720,205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510
205.3990,237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582
237.2986,388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067
388.1521,542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486
542.4939,609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003
609.3535,499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903
499.4471,368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027
368.6324,278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633
278.1278,338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324
338.8547,507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773
507.7306,694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675
694.8309,780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491
780.8041,683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873
683.3976,490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501
490.2647,407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984
407.0011,455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624
455.2540,553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095
553.2144,737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464
737.9442,731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960
731.7331,624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559
624.0706,397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547
397.9581,243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229
243.0349,261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047
261.0829,430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174
430.2510,574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525
574.9582,580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764
580.3067,499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103
499.5486,283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858
283.4003,217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699
217.0903,248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116
248.7027,436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237
436.9633,631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658
