Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Input_15,Input_16,Input_17,Input_18,Input_19,Input_20,Input_21,Input_22,Input_23,Input_24,Output
631.4324,677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217
677.7773,604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099
604.9675,483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236
483.3491,364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225
364.1873,446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565
446.9501,573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124
573.9984,766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078
766.9624,820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608
820.4095,623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453
623.9464,467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204
467.9960,366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804
366.5559,365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347
365.4547,507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962
507.4229,618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153
618.4047,646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593
646.7174,512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025
512.9525,349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003
349.9764,213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098
213.5103,250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910
250.3858,395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139
395.1699,560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592
560.0116,615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906
615.6237,544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980
544.6658,378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893
378.9217,310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320
310.8099,411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036
411.0236,567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319
567.4225,720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895
720.5565,805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370
805.6124,675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237
675.2078,472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046
472.4608,381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313
381.4453,392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057
392.8204,563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677
563.6804,706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607
706.7347,754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741
754.3962,593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960
593.3153,382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362
382.9593,271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428
271.6025,228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804
228.7003,418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209
418.1098,575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140
575.1910,565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874
565.4139,513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065
513.0592,333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539
333.3906,225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662
225.9980,306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915
306.2893,519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098
519.5320,660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017
660.0036,725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488
725.8319,627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172
627.5895,466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210
466.9370,408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990
408.2237,423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682
423.1046,601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684
601.4313,743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918
743.4057,791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003
791.1677,664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049
664.1607,483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597
483.9741,320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202
320.6960,338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259
338.2362,454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761
454.5428,597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242
597.4804,631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637
631.8209,515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121
515.3140,298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121,288.8949
298.1874,222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121,288.8949,393.1831
222.4065,274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121,288.8949,393.1831,536.5742
274.1539,421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121,288.8949,393.1831,536.5742,595.8773
421.6662,623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121,288.8949,393.1831,536.5742,595.8773,501.2887
623.1915,629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121,288.8949,393.1831,536.5742,595.8773,501.2887,364.3964
629.5098,536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121,288.8949,393.1831,536.5742,595.8773,501.2887,364.3964,221.1651
536.0017,377.6488,360.8172,406.7210,569.5990,748.5682,769.0684,735.6918,512.4003,393.8049,428.8597,559.6202,686.7259,679.1761,570.3242,400.8637,261.2121,288.8949,393.1831,536.5742,595.8773,501.2887,364.3964,221.1651,348.3428
